GB_chromosome_id	strain_name	length	number_of_CDs	chromosome	species	GB_assembly_ID	
CP014638.1	Vibrio vulnificus strain CECT 4999 plasmid pR99, complete sequence	68446	123	p	vulnificus	GCA_002215135.1_ASM221513v1
CP016345.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 1, complete sequence	3241530	5979	1	natriegens	GCA_001680025.1_ASM168002v1
CP016346.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 2, complete sequence	1927156	3341	2	natriegens	GCA_001680025.1_ASM168002v1
CP011406.1	Vibrio parahaemolyticus strain FORC_014 chromosome 1, complete sequence	3241330	6131	1	parahaemolyticus	GCA_001636035.1_ASM163603v1
CP011407.1	Vibrio parahaemolyticus strain FORC_014 chromosome 2, complete sequence	1997247	3643	2	parahaemolyticus	GCA_001636035.1_ASM163603v1
CP011408.1	Vibrio parahaemolyticus strain FORC_014 plasmid pFORC14, complete sequence	51383	109	p	parahaemolyticus	GCA_001636035.1_ASM163603v1
CP011884.1	Vibrio parahaemolyticus strain MAVP-Q chromosome 1, complete sequence	3369172	6334	1	parahaemolyticus	GCA_001682175.1_ASM168217v1
CP011885.1	Vibrio parahaemolyticus strain ST631 chromosome 2, complete sequence	1888116	3320	2	parahaemolyticus	GCA_001682175.1_ASM168217v1
CP013315.1	Vibrio cholerae strain M2140 chromosome 1, complete sequence	2939488	5421	1	cholerae	GCA_001887635.1_ASM188763v1
CP013316.1	Vibrio cholerae strain M2140 chromosome 2, complete sequence	1075375	2203	2	cholerae	GCA_001887635.1_ASM188763v1
CP009847.1	Vibrio parahaemolyticus strain FORC_004 chromosome 1, complete sequence	3348850	6157	1	parahaemolyticus	GCA_001433415.1_ASM143341v1
CP009848.1	Vibrio parahaemolyticus strain FORC_004 chromosome 2, complete sequence	1758762	3103	2	parahaemolyticus	GCA_001433415.1_ASM143341v1
CP009849.1	Vibrio parahaemolyticus strain FORC_004 plasmid pFORC4, complete sequence	64049	171	p	parahaemolyticus	GCA_001433415.1_ASM143341v1
CP010811.1	Vibrio cholerae strain 1154-74, complete genome	3928357	7113	-1	cholerae	GCA_000969235.1_ASM96923v1
CP034672.1	Vibrio anguillarum strain J360 chromosome 1, complete sequence	3320860	6395	1	anguillarum	GCA_003399575.2_ASM339957v2
CP034673.1	Vibrio anguillarum strain J360 chromosome 2, complete sequence	1172081	2227	2	anguillarum	GCA_003399575.2_ASM339957v2
CP034674.1	Vibrio anguillarum strain J360 plasmid pVaJ360, complete sequence	56630	133	p	anguillarum	GCA_003399575.2_ASM339957v2
CP016321.1	Vibrio vulnificus strain FORC_037 chromosome 1, complete sequence	3224939	5993	1	vulnificus	GCA_002204915.1_ASM220491v1
CP016322.1	Vibrio vulnificus strain FORC_037 chromosome 2, complete sequence	1852101	3175	2	vulnificus	GCA_002204915.1_ASM220491v1
CP016323.1	Vibrio vulnificus strain FORC_037 plasmid, complete sequence	40850	151	p	vulnificus	GCA_002204915.1_ASM220491v1
CP040990.1	Vibrio furnissii strain FDAARGOS_777 chromosome 1, complete sequence	3275692	6138	1	furnissii	GCA_006364355.1_ASM636435v1
CP040991.1	Vibrio furnissii strain FDAARGOS_777 chromosome 2, complete sequence	1641536	3079	2	furnissii	GCA_006364355.1_ASM636435v1
CP040989.1	Vibrio furnissii strain FDAARGOS_777 plasmid unnamed1, complete sequence	76098	165	p	furnissii	GCA_006364355.1_ASM636435v1
CP018835.1	Vibrio gazogenes strain ATCC 43942 chromosome 1, complete sequence	3471064	6317	1	gazogenes	GCA_002196515.1_ASM219651v1
CP018836.1	Vibrio gazogenes strain ATCC 43942 chromosome 2, complete sequence	1303572	2281	2	gazogenes	GCA_002196515.1_ASM219651v1
CP018837.1	Vibrio gazogenes strain ATCC 43942 plasmid unnamed1, complete sequence	11916	47	p	gazogenes	GCA_002196515.1_ASM219651v1
CP009617.1	Vibrio coralliilyticus strain RE98 chromosome 1, complete sequence	3420228	6376	1	coralliilyticus	GCA_000772065.1_ASM77206v1
CP009618.1	Vibrio coralliilyticus strain RE98 chromosome 2, complete sequence	1917482	3466	2	coralliilyticus	GCA_000772065.1_ASM77206v1
CP009620.1	Vibrio coralliilyticus strain RE98 plasmid p319, complete sequence	319400	569	p	coralliilyticus	GCA_000772065.1_ASM77206v1
CP009619.1	Vibrio coralliilyticus strain RE98 plasmid p380, complete sequence	380714	938	p	coralliilyticus	GCA_000772065.1_ASM77206v1
CP022552.2	Vibrio parahaemolyticus strain MAVP-R chromosome 1, complete sequence	3468665	7031	1	parahaemolyticus	GCA_002220985.3_HGAP
CP022553.2	Vibrio parahaemolyticus strain MAVP-R chromosome 2, complete sequence	1780740	3408	2	parahaemolyticus	GCA_002220985.3_HGAP
CP019959.1	Vibrio owensii strain XSBZ03 chromosome 1, complete sequence	3567557	6624	1	owensii	GCA_002021755.1_ASM202175v1
CP019960.1	Vibrio owensii strain XSBZ03 chromosome 2, complete sequence	2322648	4151	2	owensii	GCA_002021755.1_ASM202175v1
CP015863.1	Vibrio campbellii CAIM 519 = NBRC 15631 strain ATCC 25920, CAIM 519T chromosome 1, complete sequence	3253249	5983	1	campbellii	GCA_002163755.1_ASM216375v1
CP015864.1	Vibrio campbellii CAIM 519 = NBRC 15631 strain ATCC 25920, CAIM 519T chromosome 2, complete sequence	1850375	3396	2	campbellii	GCA_002163755.1_ASM216375v1
CP015865.1	Vibrio campbellii CAIM 519 = NBRC 15631 strain ATCC 25920, CAIM 519T plasmid unnamed, complete sequence	74479	141	p	campbellii	GCA_002163755.1_ASM216375v1
CP003241.1	Vibrio sp. EJY3 chromosome 1, complete sequence	3478307	6429	1	natriegens	GCA_000241385.1_ASM24138v1
CP003242.1	Vibrio sp. EJY3 chromosome 2, complete sequence	1974339	3460	2	natriegens	GCA_000241385.1_ASM24138v1
CP013311.1	Vibrio cholerae strain E1320 chromosome 1, complete sequence	2951445	5337	1	cholerae	GCA_001887415.1_ASM188741v1
CP013312.1	Vibrio cholerae strain E1320 chromosome 2, complete sequence	1158995	2197	2	cholerae	GCA_001887415.1_ASM188741v1
CP016556.1	Vibrio coralliilyticus strain 58 chromosome I, complete sequence	3504421	6482	1	coralliilyticus	GCA_001693615.1_ASM169361v1
CP016557.1	Vibrio coralliilyticus strain 58 chromosome II, complete sequence	1933141	3408	2	coralliilyticus	GCA_001693615.1_ASM169361v1
CP016558.1	Vibrio coralliilyticus strain 58 plasmid pVs58, complete sequence	52449	91	p	coralliilyticus	GCA_001693615.1_ASM169361v1
CP031472.1	Vibrio coralliilyticus strain RE22 chromosome 1, complete sequence	3532203	6628	1	coralliilyticus	GCA_003391375.1_ASM339137v1
CP031473.1	Vibrio coralliilyticus strain RE22 chromosome 2, complete sequence	1915494	3390	2	coralliilyticus	GCA_003391375.1_ASM339137v1
CP031474.1	Vibrio coralliilyticus strain RE22 plasmid p337, complete sequence	337275	629	p	coralliilyticus	GCA_003391375.1_ASM339137v1
CP014048.2	Vibrio vulnificus strain ATL 6-1306 chromosome 1, complete sequence	1742359	2943	2	vulnificus	GCA_001558515.2_ASM155851v2
CP014049.2	Vibrio vulnificus strain ATL 6-1306 chromosome 2, complete sequence	3236438	6585	1	vulnificus	GCA_001558515.2_ASM155851v2
CP028342.1	Vibrio parahaemolyticus isolate R13 chromosome 1, complete sequence	3477006	6923	1	parahaemolyticus	GCA_003119375.1_ASM311937v1
CP028343.1	Vibrio parahaemolyticus isolate R13 chromosome 2, complete sequence	1818054	3423	2	parahaemolyticus	GCA_003119375.1_ASM311937v1
CP028344.1	Vibrio parahaemolyticus isolate R13 plasmid pVpR13_19Kb, complete sequence	19217	47	p	parahaemolyticus	GCA_003119375.1_ASM311937v1
CP028345.1	Vibrio parahaemolyticus isolate R13 plasmid pVpR13_55Kb, complete sequence	55412	123	p	parahaemolyticus	GCA_003119375.1_ASM311937v1
CP028346.1	Vibrio parahaemolyticus isolate R13 plasmid pVpR13_71Kb, complete sequence	71596	159	p	parahaemolyticus	GCA_003119375.1_ASM311937v1
CP016351.1	Vibrio natriegens strain CCUG 16374 chromosome 1, complete sequence	3460038	6339	1	natriegens	GCA_001680085.1_ASM168008v1
CP016352.1	Vibrio natriegens strain CCUG 16374 chromosome 2, complete sequence	2044646	3548	2	natriegens	GCA_001680085.1_ASM168008v1
LT960611.1	Vibrio tapetis subsp. tapetis isolate Vibrio tapetis CECT4600 genome assembly, chromosome 1	3788452	7559	1	tapetis	GCA_900233005.1_Vibrio_tapetis_CECT4600
LT960612.1	Vibrio tapetis subsp. tapetis isolate Vibrio tapetis CECT4600 genome assembly, chromosome 2	1855153	3729	2	tapetis	GCA_900233005.1_Vibrio_tapetis_CECT4600
LT960613.1	Vibrio tapetis subsp. tapetis isolate Vibrio tapetis CECT4600 genome assembly, plasmid: P	82266	195	p	tapetis	GCA_900233005.1_Vibrio_tapetis_CECT4600
CP033144.1	Vibrio owensii strain V180403 chromosome 1, complete sequence	3783402	7375	1	owensii	GCA_003691545.1_ASM369154v1
CP033145.1	Vibrio owensii strain V180403 chromosome 2, complete sequence	2486946	4485	2	owensii	GCA_003691545.1_ASM369154v1
CP033146.1	Vibrio owensii strain V180403 plasmid pVOWZ3, complete sequence	74553	169	p	owensii	GCA_003691545.1_ASM369154v1
CP033147.1	Vibrio owensii strain V180403 plasmid pVOWZ4, complete sequence	73661	173	p	owensii	GCA_003691545.1_ASM369154v1
CP028943.1	Vibrio sp. dhg chromosome 1, complete sequence	3349595	6287	1	natriegens	GCA_003443775.1_ASM344377v1
CP028944.1	Vibrio sp. dhg chromosome 2, complete sequence	1995515	3579	2	natriegens	GCA_003443775.1_ASM344377v1
CP028945.1	Vibrio sp. dhg plasmid unnamed1, complete sequence	143489	293	p	natriegens	GCA_003443775.1_ASM344377v1
CP033577.1	Vibrio mediterranei strain 117-T6 chromosome 1, complete sequence	3698726	7057	1	mediterranei	GCA_003726935.1_ASM372693v1
CP033578.1	Vibrio mediterranei strain 117-T6 chromosome 2, complete sequence	2081621	3694	2	mediterranei	GCA_003726935.1_ASM372693v1
CP033579.1	Vibrio mediterranei strain 117-T6 plasmid unnamed, complete sequence	195680	393	p	mediterranei	GCA_003726935.1_ASM372693v1
CP007653.1	Vibrio cholerae strain TSY216 chromosome 1, complete sequence	3053204	5527	1	cholerae	GCA_001045415.1_ASM104541v1
CP007654.1	Vibrio cholerae strain TSY216 chromosome 2, complete sequence	1051284	1899	2	cholerae	GCA_001045415.1_ASM104541v1
CP007655.1	Vibrio cholerae strain TSY216 chromosome 3, complete sequence	896006	2137	p	cholerae	GCA_001045415.1_ASM104541v1
CP017889.1	Vibrio alginolyticus strain K01M1 chromosome 1, complete sequence	3468303	6424	1	alginolyticus	GCA_002119505.2_ASM211950v2
CP017890.1	Vibrio alginolyticus strain K01M1 chromosome 2, complete sequence	1883748	3339	2	alginolyticus	GCA_002119505.2_ASM211950v2
CP028135.1	Vibrio alginolyticus strain K01M1 plasmid pL9064	9064	1	p	alginolyticus	GCA_002119505.2_ASM211950v2
CP016177.1	Vibrio breoganii strain FF50 chromosome 1, complete sequence	2807405	5225	1	breoganii	GCA_001677275.1_ASM167727v1
CP016178.1	Vibrio breoganii strain FF50 chromosome 2, complete sequence	1343833	2328	2	breoganii	GCA_001677275.1_ASM167727v1
CP016179.1	Vibrio breoganii strain FF50 plasmid unnamed1, complete sequence	340942	795	p	breoganii	GCA_001677275.1_ASM167727v1
CP015512.1	Vibrio vulnificus strain FORC_036 chromosome 1, complete sequence	3260504	6117	1	vulnificus	GCA_002117205.1_ASM211720v1
CP015513.1	Vibrio vulnificus strain FORC_036 chromosome 2, complete sequence	1882082	3253	2	vulnificus	GCA_002117205.1_ASM211720v1
CP015514.1	Vibrio vulnificus strain FORC_036 plasmid unnamed, complete sequence	925374	2391	p	vulnificus	GCA_002117205.1_ASM211720v1
CP022353.1	Vibrio sp. 2521-89 chromosome 1, complete sequence	3017468	5726	1	sp.	GCA_002216685.1_ASM221668v1
CP022352.1	Vibrio sp. 2521-89 chromosome 2, complete sequence	1106395	2191	2	sp.	GCA_002216685.1_ASM221668v1
CP018308.1	Vibrio mediterranei strain QT6D1 chromosome 1, complete sequence	3613787	6741	1	mediterranei	GCA_002214345.1_ASM221434v1
CP018309.1	Vibrio mediterranei strain QT6D1 chromosome 2	2127655	3814	2	mediterranei	GCA_002214345.1_ASM221434v1
CP018310.1	Vibrio mediterranei strain QT6D1 plasmid unnamed, complete sequence	70734	143	p	mediterranei	GCA_002214345.1_ASM221434v1
CP003972.1	Vibrio parahaemolyticus BB22OP chromosome 1, complete sequence	3297305	6063	1	parahaemolyticus	GCA_000328405.1_ASM32840v1
CP003973.1	Vibrio parahaemolyticus BB22OP chromosome 2, complete sequence	1806219	3235	2	parahaemolyticus	GCA_000328405.1_ASM32840v1
CP031781.1	Vibrio parahaemolyticus strain VPD14 chromosome 1, complete sequence	3291121	6643	1	parahaemolyticus	GCA_004006515.1_ASM400651v1
CP031782.1	Vibrio parahaemolyticus strain VPD14 chromosome 2, complete sequence	1877519	3625	2	parahaemolyticus	GCA_004006515.1_ASM400651v1
CP012997.1	Vibrio cholerae strain 2012Env-9 chromosome 1, complete sequence	1124711	2113	2	cholerae	GCA_000788715.2_ASM78871v2
CP012998.1	Vibrio cholerae strain 2012Env-9 chromosome 2, complete sequence	2937102	5367	1	cholerae	GCA_000788715.2_ASM78871v2
CP017635.1	Vibrio vulnificus Env1 chromosome I, complete sequence	3241343	5955	1	vulnificus	GCA_003047125.1_ASM304712v1
CP017636.1	Vibrio vulnificus Env1 chromosome II, complete sequence	1712705	2813	2	vulnificus	GCA_003047125.1_ASM304712v1
CP011775.1	Vibrio vulnificus strain FORC_016 chromosome I, complete sequence	3234424	6053	1	vulnificus	GCA_001653775.1_ASM165377v1
CP011776.1	Vibrio vulnificus strain FORC_016 chromosome II, complete sequence	1837945	3177	2	vulnificus	GCA_001653775.1_ASM165377v1
CP017899.1	Vibrio alginolyticus strain K04M5 chromosome 1, complete sequence	3470916	6434	1	alginolyticus	GCA_002119545.1_ASM211954v1
CP017900.1	Vibrio alginolyticus strain K04M5 chromosome 2, complete sequence	1900618	3383	2	alginolyticus	GCA_002119545.1_ASM211954v1
CP017901.1	Vibrio alginolyticus strain K04M5 plasmid pL294, complete sequence	294721	641	p	alginolyticus	GCA_002119545.1_ASM211954v1
CP027030.1	Vibrio vulnificus strain FORC_077 chromosome 1, complete sequence	3217678	6097	1	vulnificus	GCA_004319645.1_ASM431964v1
CP027031.1	Vibrio vulnificus strain FORC_077 chromosome 2, complete sequence	1800582	3129	2	vulnificus	GCA_004319645.1_ASM431964v1
CP030788.1	Vibrio campbellii strain DS40M4 chromosome 1, complete sequence	3261651	6351	1	campbellii	GCA_003312585.1_ASM331258v1
CP030789.1	Vibrio campbellii strain DS40M4 chromosome 2, complete sequence	1878023	3676	2	campbellii	GCA_003312585.1_ASM331258v1
CP030790.1	Vibrio campbellii strain DS40M4 plasmid unnamed1, complete sequence	77350	209	p	campbellii	GCA_003312585.1_ASM331258v1
CP022243.1	Vibrio parahaemolyticus strain PB1937 chromosome I, complete sequence	3567562	1	1	parahaemolyticus	GCA_003351885.1_ASM335188v1
CP022244.1	Vibrio parahaemolyticus strain PB1937 chromosome II, complete sequence	1863898	1	2	parahaemolyticus	GCA_003351885.1_ASM335188v1
CP022245.1	Vibrio parahaemolyticus strain PB1937 plasmid p1937-1, complete sequence	70247	1	p	parahaemolyticus	GCA_003351885.1_ASM335188v1
CP022246.1	Vibrio parahaemolyticus strain PB1937 plasmid p1937-2, complete sequence	78481	1	p	parahaemolyticus	GCA_003351885.1_ASM335188v1
CP003069.1	Vibrio cholerae O1 str. 2010EL-1786 chromosome 1, complete sequence	3031375	5805	1	cholerae	GCA_000166455.2_ASM16645v2
CP003070.1	Vibrio cholerae O1 str. 2010EL-1786 chromosome 2, complete sequence	1046365	2089	2	cholerae	GCA_000166455.2_ASM16645v2
CP009042.1	Vibrio cholerae O1 biovar El Tor strain FJ147 chromosome I, complete sequence	3045476	5466	1	cholerae	GCA_000963555.1_ASM96355v1
CP009041.1	Vibrio cholerae O1 biovar El Tor strain FJ147 chromosome II, complete sequence	1046459	1867	2	cholerae	GCA_000963555.1_ASM96355v1
CP032093.1	Vibrio alfacsensis strain CAIM 1831 chromosome I, complete sequence	3136974	6123	1	alfacsensis	GCA_003544875.1_ASM354487v1
CP032094.1	Vibrio alfacsensis strain CAIM 1831 chromosome II, complete sequence	1596877	2861	2	alfacsensis	GCA_003544875.1_ASM354487v1
CP032095.1	Vibrio alfacsensis strain CAIM 1831 plasmid pVa1, complete sequence	176380	337	p	alfacsensis	GCA_003544875.1_ASM354487v1
CP012882.1	Vibrio vulnificus NBRC 15645 = ATCC 27562 chromosome 2, complete sequence	1741042	2869	2	vulnificus	GCA_002224265.1_ASM222426v1
CP012881.1	Vibrio vulnificus NBRC 15645 = ATCC 27562 chromosome 1, complete sequence	3266118	5930	1	vulnificus	GCA_002224265.1_ASM222426v1
CP023472.1	Vibrio parahaemolyticus strain FORC_072 chromosome 1, complete sequence	3402675	6455	1	parahaemolyticus	GCA_003612695.1_ASM361269v1
CP023473.1	Vibrio parahaemolyticus strain FORC_072 chromosome 2, complete sequence	1785563	3167	2	parahaemolyticus	GCA_003612695.1_ASM361269v1
CP006004.1	Vibrio parahaemolyticus O1:Kuk str. FDA_R31 chromosome I, complete sequence	3362228	6441	1	parahaemolyticus	GCA_000430405.1_ASM43040v1
CP006005.1	Vibrio parahaemolyticus O1:Kuk str. FDA_R31 chromosome II, complete sequence	1861334	3396	2	parahaemolyticus	GCA_000430405.1_ASM43040v1
AP018680.1	Vibrio casei DSM 22364 DNA, chromosome 1, complete geome	2756634	1	1	casei	GCA_002218025.2_ASM221802v2
AP018681.1	Vibrio casei DSM 22364 DNA, chromosome 2, complete geome	1200070	1	2	casei	GCA_002218025.2_ASM221802v2
AP018684.1	Vibrio casei DSM 22364 plasmid 3 DNA, complete genome	7520	1	p	casei	GCA_002218025.2_ASM221802v2
AP018682.1	Vibrio casei DSM 22364 plasmid 1 DNA, complete genome	160294	1	p	casei	GCA_002218025.2_ASM221802v2
AP018683.1	Vibrio casei DSM 22364 plasmid 2 DNA, complete genome	16253	1	p	casei	GCA_002218025.2_ASM221802v2
CP026647.1	Vibrio cholerae O1 biovar El Tor strain HC1037 chromosome I, complete sequence	3015116	5637	1	cholerae	GCA_002946655.1_ASM294665v1
CP026648.1	Vibrio cholerae O1 biovar El Tor strain HC1037 chromosome II, complete sequence	1046303	2121	2	cholerae	GCA_002946655.1_ASM294665v1
CP017907.1	Vibrio alginolyticus strain K06K5 chromosome 1, complete sequence	3471297	6438	1	alginolyticus	GCA_002119565.1_ASM211956v1
CP017908.1	Vibrio alginolyticus strain K06K5 chromosome 2, complete sequence	1879729	3327	2	alginolyticus	GCA_002119565.1_ASM211956v1
CP017910.1	Vibrio alginolyticus strain K06K5 plasmid pL29, complete sequence	29688	52	p	alginolyticus	GCA_002119565.1_ASM211956v1
CP017909.1	Vibrio alginolyticus strain K06K5 plasmid pL291, complete sequence	291285	645	p	alginolyticus	GCA_002119565.1_ASM211956v1
CP017918.1	Vibrio alginolyticus strain K09K1 chromosome I, complete sequence	1897210	3416	2	alginolyticus	GCA_002149065.1_ASM214906v1
CP017919.1	Vibrio alginolyticus strain K09K1 chromosome II, complete sequence	3465619	6435	1	alginolyticus	GCA_002149065.1_ASM214906v1
AP014635.1	Vibrio tritonius DNA, chromosome 1, complete genome, strain: JCM 16456	3434724	1	1	tritonius	GCA_001547935.1_ASM154793v1
AP014636.1	Vibrio tritonius DNA, chromosome 2, complete genome, strain: JCM 16456	1787202	1	2	tritonius	GCA_001547935.1_ASM154793v1
CP022099.1	Vibrio anguillarum strain S3 4/9 chromosome 1, complete sequence	2955425	5451	1	anguillarum	GCA_002212005.1_ASM221200v1
CP022100.1	Vibrio anguillarum strain S3 4/9 chromosome 2, complete sequence	1227548	2394	2	anguillarum	GCA_002212005.1_ASM221200v1
CP025792.1	Vibrio jasicida 090810c chromosome 1, complete sequence	3690481	1	1	jasicida	GCA_002887615.1_ASM288761v1
CP025793.1	Vibrio jasicida 090810c chromosome 2, complete sequence	2299042	1	2	jasicida	GCA_002887615.1_ASM288761v1
CP024082.1	Vibrio cholerae strain FORC_073 chromosome 1, complete sequence	3031091	5534	1	cholerae	GCA_003591575.1_ASM359157v1
CP024083.1	Vibrio cholerae strain FORC_073 chromosome 2, complete sequence	995003	1812	2	cholerae	GCA_003591575.1_ASM359157v1
CP028827.1	Vibrio cholerae strain N16961 chromosome 1, complete sequence	2975504	5429	1	cholerae	GCA_003063785.1_ASM306378v1
CP028828.1	Vibrio cholerae strain N16961 chromosome 2, complete sequence	1072331	1983	2	cholerae	GCA_003063785.1_ASM306378v1
CP026315.1	Vibrio campbellii strain BoB-90 chromosome 1, complete sequence	3641970	6949	1	campbellii	GCA_002906455.1_ASM290645v1
CP026316.1	Vibrio campbellii strain BoB-90 chromosome 2, complete sequence	2153958	3930	2	campbellii	GCA_002906455.1_ASM290645v1
CP026317.1	Vibrio campbellii strain BoB-90 plasmid unnamed 1, complete sequence	194647	433	p	campbellii	GCA_002906455.1_ASM290645v1
CP026318.1	Vibrio campbellii strain BoB-90 plasmid unnamed 2, complete sequence	74233	185	p	campbellii	GCA_002906455.1_ASM290645v1
CP026319.1	Vibrio campbellii strain BoB-90 plasmid unnamed 3, complete sequence	69048	181	p	campbellii	GCA_002906455.1_ASM290645v1
CP026320.1	Vibrio campbellii strain BoB-90 plasmid unnamed 4, complete sequence	37211	153	p	campbellii	GCA_002906455.1_ASM290645v1
CP001235.1	Vibrio cholerae O395 chromosome I, complete sequence	3024078	5898	1	cholerae	GCA_000021625.1_ASM2162v1
CP001236.1	Vibrio cholerae O395 chromosome II, complete sequence	1111222	2403	2	cholerae	GCA_000021625.1_ASM2162v1
CP013309.1	Vibrio cholerae strain E1162 chromosome 1, complete sequence	2996535	5521	1	cholerae	GCA_001887495.1_ASM188749v1
CP013310.1	Vibrio cholerae strain E1162 chromosome 2, complete sequence	1114337	2091	2	cholerae	GCA_001887495.1_ASM188749v1
CP020034.1	Vibrio parahaemolyticus strain 20130629002S01 chromosome I, complete sequence	3394092	6539	1	parahaemolyticus	GCA_003085735.1_ASM308573v1
CP020035.1	Vibrio parahaemolyticus strain 20130629002S01 chromosome II, complete sequence	1902897	3521	2	parahaemolyticus	GCA_003085735.1_ASM308573v1
CP020036.1	Vibrio parahaemolyticus strain 20130629002S01 plasmid pVPGX1, complete sequence	69227	165	p	parahaemolyticus	GCA_003085735.1_ASM308573v1
CP020037.1	Vibrio parahaemolyticus strain 20130629002S01 plasmid pVPGX2, complete sequence	38608	127	p	parahaemolyticus	GCA_003085735.1_ASM308573v1
CP033134.1	Vibrio campbellii strain 170502 chromosome I, complete sequence	3524636	6721	1	campbellii	GCA_003691485.1_ASM369148v1
CP033135.1	Vibrio campbellii strain 170502 chromosome II, complete sequence	2149507	3848	2	campbellii	GCA_003691485.1_ASM369148v1
CP033136.1	Vibrio campbellii strain 170502 plasmid pVCZS, complete sequence	69012	161	p	campbellii	GCA_003691485.1_ASM369148v1
CP022741.1	Vibrio sp. Q67 chromosome 1, complete sequence	2872911	5340	1	anguillarum	GCA_002257545.1_ASM225754v1
CP022742.1	Vibrio sp. Q67 chromosome 2, complete sequence	1144802	2170	2	anguillarum	GCA_002257545.1_ASM225754v1
CP001805.1	Vibrio antiquarius strain EX25 chromosome 1, complete sequence	3259580	6118	1	antiquarius	GCA_000024825.1_ASM2482v1
CP001806.1	Vibrio antiquarius strain EX25 chromosome 2, complete sequence	1829445	3244	2	antiquarius	GCA_000024825.1_ASM2482v1
BA000037.2	Vibrio vulnificus YJ016 DNA, chromosome I, complete sequence	3354505	7046	1	vulnificus	GCA_000009745.1_ASM974v1
BA000038.2	Vibrio vulnificus YJ016 DNA, chromosome II, complete sequence	1857073	3457	2	vulnificus	GCA_000009745.1_ASM974v1
AP005352.1	Vibrio vulnificus YJ016 plasmid pYJ016 DNA, complete genome	48508	153	p	vulnificus	GCA_000009745.1_ASM974v1
CP036499.1	Vibrio cholerae strain 20000 chromosome 1, complete sequence	2942340	5533	1	cholerae	GCA_004328575.1_ASM432857v1
CP036500.1	Vibrio cholerae strain 20000 chromosome 2, complete sequence	1110356	2173	2	cholerae	GCA_004328575.1_ASM432857v1
CP025794.1	Vibrio hyugaensis strain 090810a chromosome 1, complete sequence	3530957	1	1	hyugaensis	GCA_002906655.1_ASM290665v1
CP025795.1	Vibrio hyugaensis strain 090810a chromosome 2, complete sequence	2081125	1	2	hyugaensis	GCA_002906655.1_ASM290665v1
CP013313.1	Vibrio cholerae strain E9120 chromosome 1, complete sequence	2961701	5549	1	cholerae	GCA_001887655.1_ASM188765v1
CP013314.1	Vibrio cholerae strain E9120 chromosome 2, complete sequence	1105026	2375	2	cholerae	GCA_001887655.1_ASM188765v1
CP023054.1	Vibrio anguillarum strain VIB43 chromosome 1, complete sequence	3239943	6074	1	anguillarum	GCA_002287545.1_ASM228754v1
CP023055.1	Vibrio anguillarum strain VIB43 chromosome 2, complete sequence	1152744	2178	2	anguillarum	GCA_002287545.1_ASM228754v1
CP023056.1	Vibrio anguillarum strain VIB43 plasmid p15, complete sequence	15178	33	p	anguillarum	GCA_002287545.1_ASM228754v1
CP019293.1	Vibrio campbellii strain LMB29 chromosome 1, complete sequence	3486048	6626	1	campbellii	GCA_001969325.1_ASM196932v1
CP019294.1	Vibrio campbellii strain LMB29 chromosome 2, complete sequence	2214480	3960	2	campbellii	GCA_001969325.1_ASM196932v1
CP019296.1	Vibrio campbellii strain LMB29 plasmid pLMB143, complete sequence	143114	273	p	campbellii	GCA_001969325.1_ASM196932v1
CP019295.1	Vibrio campbellii strain LMB29 plasmid pLMB157, complete sequence	157074	311	p	campbellii	GCA_001969325.1_ASM196932v1
CP019298.1	Vibrio campbellii strain LMB29 plasmid pLMB96, complete sequence	95945	249	p	campbellii	GCA_001969325.1_ASM196932v1
CP019297.1	Vibrio campbellii strain LMB29 plasmid pLMB99, complete sequence	99317	253	p	campbellii	GCA_001969325.1_ASM196932v1
CP014042.2	Vibrio mimicus strain ATCC 33654 chromosome 1, complete sequence	1347652	2729	2	mimicus	GCA_001558475.2_ASM155847v2
CP014043.2	Vibrio mimicus strain ATCC 33654 chromosome 2, complete sequence	3091045	5851	1	mimicus	GCA_001558475.2_ASM155847v2
LT992488.1	Vibrio cholerae strain 4295STDY6534232 genome assembly, chromosome 1	3041946	5543	1	cholerae	GCA_900324425.1_48853_H01
LT992489.1	Vibrio cholerae strain 4295STDY6534232 genome assembly, chromosome 2	1050699	1893	2	cholerae	GCA_900324425.1_48853_H01
CP026041.1	Vibrio parahaemolyticus strain 10329 chromosome 1, complete sequence	3316147	6753	1	parahaemolyticus	GCA_001188185.2_ASM118818v2
CP026042.1	Vibrio parahaemolyticus strain 10329 chromosome 2, complete sequence	1833070	3499	2	parahaemolyticus	GCA_001188185.2_ASM118818v2
CP017896.1	Vibrio alginolyticus isolate K04M3 chromosome 1, complete sequence	3476174	6451	1	alginolyticus	GCA_002149105.1_ASM214910v1
CP017897.1	Vibrio alginolyticus isolate K04M3 chromosome II, complete sequence	1903830	3422	2	alginolyticus	GCA_002149105.1_ASM214910v1
CP017898.1	Vibrio alginolyticus isolate K04M3 plasmid pL294, complete sequence	294086	651	p	alginolyticus	GCA_002149105.1_ASM214910v1
CP002555.1	Vibrio cholerae LMA3894-4 chromosome I, complete sequence	2791729	5022	1	cholerae	GCA_000195065.1_ASM19506v1
CP002556.1	Vibrio cholerae LMA3894-4 chromosome II, complete sequence	946986	1692	2	cholerae	GCA_000195065.1_ASM19506v1
